Type,ID,Name/Email/Order,Details
User,Sai@gmail.com,Sai@gmail.com,Email Opened: No
User,admin@gmail.com,admin@gmail.com,Email Opened: No
User,Sai@email.com,Sai@email.com,Email Opened: No
User,admin1@gmail.com,admin1@gmail.com,Email Opened: No
User,temp@gmail.com,temp@gmail.com,Email Opened: No
User,admin2@gmail.com,admin2@gmail.com,Email Opened: No
Order,68174f1a8df4c1073bdaaeb8,68145f5a945024b437e2d32f,"Total: $N/A, Status: Processing"
Order,68174f2c8df4c1073bdaaec7,68145f5a945024b437e2d32f,"Total: $N/A, Status: Processing"
Order,68175b59abc5641a873dbe63,68145f5a945024b437e2d32f,"Total: $N/A, Status: Shipped"
Order,68175e90abc5641a873dbf9c,68145f5a945024b437e2d32f,"Total: $N/A, Status: Processing"
Order,68175f5eabc5641a873dc066,68175a6d1e4aa7fed39749f6,"Total: $N/A, Status: Delivered"
Order,68177a1b56f21ec7bf8d906d,68145f5a945024b437e2d32f,"Total: $N/A, Status: Delivered"
Product,681716219e7eb1b94018aa5c,Mobile,Price: $20000
Product,68174c7d8df4c1073bdaae2b,Laptop,Price: $70000
